jahr;anlage;ort;bfsnr;rubrik;thema;wert;einheit;betrieb
2020;k0116;Flurlingen;29;Oberflächengewässer;Wärme;11.8;kW;Ja
2020;k0219;Flaach;28;Oberflächengewässer;Wärme;54;kW;Ja
2020;l0152;Hochfelden;59;Oberflächengewässer;Wärme;0;kW;Ja
2020;l0184;Eglisau;55;Oberflächengewässer;Wärme;80.6;kW;Ja
2020;l0204;Opfikon;66;Oberflächengewässer;Wärme;93;kW;Ja
2020;l0211;Glattfelden;58;Oberflächengewässer;Wärme;490;kW;Ja
2020;n0134;Dietikon;243;Oberflächengewässer;Wärme;630;kW;Ja
2020;n0135;Dietikon;243;Oberflächengewässer;Wärme;360;kW;Ja
2021;b0098;Zürich;261;Oberflächengewässer;Wärme;1196;kW;Ja
2021;b0102;Zürich;261;Oberflächengewässer;Wärme;274;kW;Ja
2021;b0116;Zürich;261;Oberflächengewässer;Wärme;100;kW;Ja
2021;b0119;Zürich;261;Oberflächengewässer;Wärme;346;kW;Ja
2021;b0131;Zürich;261;Oberflächengewässer;Wärme;42;kW;Ja
2021;b0138;Zürich;261;Oberflächengewässer;Wärme;88;kW;Ja
2021;b0143;Zürich;261;Oberflächengewässer;Wärme;0;kW;Ja
2021;b0150;Zürich;261;Oberflächengewässer;Wärme;0;kW;Nein
2021;b0152;Zürich;261;Oberflächengewässer;Wärme;221.3;kW;Ja
2021;b0163;Zürich;261;Oberflächengewässer;Wärme;0;kW;Ja
2021;b0174;Zürich;261;Oberflächengewässer;Wärme;250;kW;Ja
2021;b0182;Zürich;261;Oberflächengewässer;Wärme;18.5;kW;Ja
2021;b0186;Zürich;261;Oberflächengewässer;Wärme;123;kW;Ja
2021;b0187;Zürich;261;Oberflächengewässer;Wärme;204;kW;Ja
2021;b0192;Zürich;261;Oberflächengewässer;Wärme;3462;kW;Ja
2021;b0193;Zürich;261;Oberflächengewässer;Wärme;600;kW;Ja
2021;b0194;Zürich;261;Oberflächengewässer;Wärme;0;kW;Ja
2021;b0195;Zürich;261;Oberflächengewässer;Wärme;355;kW;Ja
2021;b0196;Zürich;261;Oberflächengewässer;Wärme;70;kW;Ja
2021;b0197;Zürich;261;Oberflächengewässer;Wärme;41;kW;Ja
2021;b0202;Zürich;261;Oberflächengewässer;Wärme;1963.5;kW;Ja
2021;b0207;Zürich;261;Oberflächengewässer;Wärme;0;kW;Ja
2021;b0208;Zürich;261;Oberflächengewässer;Wärme;1403.3;kW;Ja
2021;b0209;Zürich;261;Oberflächengewässer;Wärme;0;kW;Ja
2021;b0210;Zürich;261;Oberflächengewässer;Wärme;120;kW;Ja
2021;b0223;Zürich;261;Oberflächengewässer;Wärme;0;kW;Ja
2021;b0729;Zürich;261;Oberflächengewässer;Wärme;2382;kW;Ja
2021;d0117;Wädenswil;293;Oberflächengewässer;Wärme;0;kW;Ja
2021;d0130;Horgen;295;Oberflächengewässer;Wärme;616;kW;Ja
2021;d0140;Wädenswil;293;Oberflächengewässer;Wärme;0;kW;Ja
2021;d0153;Kilchberg (ZH);135;Oberflächengewässer;Wärme;0;kW;Ja
2021;d0197;Horgen;295;Oberflächengewässer;Wärme;48;kW;Ja
2021;d0217;Wädenswil;293;Oberflächengewässer;Wärme;10.5;kW;Ja
2021;d0221;Rüschlikon;139;Oberflächengewässer;Wärme;5.7;kW;Ja
2021;d0225;Wädenswil;293;Oberflächengewässer;Wärme;450;kW;Ja
2021;d0226;Kilchberg (ZH);135;Oberflächengewässer;Wärme;331;kW;Ja
2021;d0230;Thalwil;141;Oberflächengewässer;Wärme;372;kW;Ja
2021;d0234;Wädenswil;293;Oberflächengewässer;Wärme;125;kW;Ja
2021;d0236;Horgen;295;Oberflächengewässer;Wärme;604;kW;Ja
2021;d0239;Horgen;295;Oberflächengewässer;Wärme;334;kW;Ja
2021;d0242;Thalwil;141;Oberflächengewässer;Wärme;110;kW;ja
2021;d0243;Horgen;295;Oberflächengewässer;Wärme;50;kW;ja
