"jahr";"anlage";"ort";"bfsnr";"rubrik";"thema";"wert";"einheit";"betrieb"
"2004";"m0157";"Bachs";"81";"Oberflächengewässer";"Wärme";"6,600";"kW";"Ja"
"2004";"n0086";"Birmensdorf (ZH)";"242";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2005";"b0098";"Zürich";"261";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2005";"b0102";"Zürich";"261";"Oberflächengewässer";"Wärme";"260,000";"kW";"Ja"
"2005";"b0116";"Zürich";"261";"Oberflächengewässer";"Wärme";"100,000";"kW";"Ja"
"2005";"b0118";"Zürich";"261";"Oberflächengewässer";"Wärme";"10000,000";"kW";"Ja"
"2005";"b0119";"Zürich";"261";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2005";"b0131";"Zürich";"261";"Oberflächengewässer";"Wärme";"42,000";"kW";"Ja"
"2005";"b0138";"Zürich";"261";"Oberflächengewässer";"Wärme";"87,000";"kW";"Ja"
"2005";"b0143";"Zürich";"261";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2005";"b0150";"Zürich";"261";"Oberflächengewässer";"Wärme";"660,000";"kW";"Ja"
"2005";"b0152";"Zürich";"261";"Oberflächengewässer";"Wärme";"220,000";"kW";"Ja"
"2005";"b0157";"Zürich";"261";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2005";"b0158";"Zürich";"261";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2005";"b0163";"Zürich";"261";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2005";"b0174";"Zürich";"261";"Oberflächengewässer";"Wärme";"250,000";"kW";"Ja"
"2005";"b0182";"Zürich";"261";"Oberflächengewässer";"Wärme";"10,800";"kW";"Ja"
"2005";"b0185";"Zürich";"261";"Oberflächengewässer";"Wärme";"249,000";"kW";"Ja"
"2005";"b0186";"Zürich";"261";"Oberflächengewässer";"Wärme";"178,000";"kW";"Ja"
"2005";"b0187";"Zürich";"261";"Oberflächengewässer";"Wärme";"190,000";"kW";"Ja"
"2005";"b0188";"Zürich";"261";"Oberflächengewässer";"Wärme";"165,000";"kW";"Ja"
"2005";"b0192";"Zürich";"261";"Oberflächengewässer";"Wärme";"3150,000";"kW";"Ja"
"2005";"b0193";"Zürich";"261";"Oberflächengewässer";"Wärme";"592,000";"kW";"Ja"
"2005";"b0194";"Zürich";"261";"Oberflächengewässer";"Wärme";"700,000";"kW";"Ja"
"2005";"b0195";"Zürich";"261";"Oberflächengewässer";"Wärme";"376,000";"kW";"Ja"
"2005";"b0196";"Zürich";"261";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2005";"b0197";"Zürich";"261";"Oberflächengewässer";"Wärme";"41,000";"kW";"Ja"
"2005";"b0729";"Zürich";"261";"Oberflächengewässer";"Wärme";"350,000";"kW";"Ja"
"2005";"b0741";"Zürich";"261";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2005";"b0742";"Zürich";"261";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2005";"d0117";"Wädenswil";"293";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2005";"d0128";"Wädenswil";"293";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2005";"d0130";"Horgen";"295";"Oberflächengewässer";"Wärme";"616,000";"kW";"Ja"
"2005";"d0140";"Wädenswil";"293";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
