"jahr";"bfsnr";"ort";"rubrik";"thema";"wert";"einheit"
1993;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1993;2;"Affoltern am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
1994;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"kW"
1994;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"kW"
1994;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"MWh"
1994;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1994;2;"Affoltern am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
1995;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"kW"
1995;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"kW"
1995;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"MWh"
1995;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1995;2;"Affoltern am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
1996;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"kW"
1996;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"kW"
1996;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"MWh"
1996;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1996;2;"Affoltern am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
1997;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"kW"
1997;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"kW"
1997;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"MWh"
1997;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1997;2;"Affoltern am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
1998;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"kW"
1998;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"kW"
1998;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"MWh"
1998;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1998;2;"Affoltern am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
1999;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"kW"
1999;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"kW"
1999;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"MWh"
1999;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1999;2;"Affoltern am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
2000;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"kW"
2000;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"kW"
2000;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"MWh"
2000;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2000;2;"Affoltern am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
2001;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"kW"
2001;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"kW"
2001;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"MWh"
2001;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2001;2;"Affoltern am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
2002;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"kW"
2002;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"kW"
2002;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"MWh"
2002;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2002;2;"Affoltern am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
2003;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"kW"
2003;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"kW"
2003;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"MWh"
2003;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2003;2;"Affoltern am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
2004;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";50.4;"kW"
2004;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"kW"
2004;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";90.72;"MWh"
2004;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2004;2;"Affoltern am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
2005;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";50.4;"kW"
2005;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"kW"
2005;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";90.72;"MWh"
