"jahr";"ort";"rubrik";"thema";"subthema";"wert";"einheit"
1999;"Schweiz";"Umweltwärme";"LuftWasserWP";"Anzahl";37001.95841331304;"Anzahl"
1999;"Schweiz";"Umweltwärme";"LuftLuftWP";"Anzahl";810.9770132926133;"Anzahl"
1999;"Schweiz";"Umweltwärme";"SoleWasserWP";"Anzahl";19291.853772872888;"Anzahl"
1999;"Schweiz";"Umweltwärme";"WasserWasserWP";"Anzahl";4387.7253463311645;"Anzahl"
1999;"Schweiz";"Umweltwärme";"LuftWasserWP";"Energie";523.8761913362862;"GWh"
1999;"Schweiz";"Umweltwärme";"LuftLuftWP";"Energie";0.7590965842718044;"GWh"
1999;"Schweiz";"Umweltwärme";"SoleWasserWP";"Energie";444.59928196952205;"GWh"
1999;"Schweiz";"Umweltwärme";"WasserWasserWP";"Energie";286.69758088657534;"GWh"
1999;"Kanton";"Umweltwärme";"SoleWasserWP";"Anzahl";3237;"Anzahl"
1999;"Kanton";"Umweltwärme";"SoleWasserWP";"Kälte";1624.5;"MWh"
1999;"Kanton";"Umweltwärme";"SoleWasserWP";"Kälte";902.5;"kW"
1999;"Kanton";"Umweltwärme";"SoleWasserWP";"Wärme";58619.7;"MWh"
1999;"Kanton";"Umweltwärme";"SoleWasserWP";"Wärme";32566.5;"kW"
1999;"Kanton";"Umweltwärme";"LuftWP";"Anzahl (GP)";4181.258370660857;"Anzahl"
1999;"Kanton";"Umweltwärme";"LuftWP";"Wärme (GP)";42066.40430278863;"kW"
1999;"Kanton";"Umweltwärme";"LuftWP";"Kälte (GP)";1165.7663514122407;"kW"
1999;"Kanton";"Umweltwärme";"LuftWP";"Wärme (GP)";75719.52774501953;"MWh"
1999;"Kanton";"Umweltwärme";"LuftWP";"Kälte (GP)";2098.3794325420336;"MWh"
1999;"Kanton";"Umweltwärme";"LuftWP";"Anzahl (BFE)";6344.671352839877;"Anzahl"
1999;"Kanton";"Umweltwärme";"LuftWP";"Wärme (BFE)";63831.86271617543;"kW"
1999;"Kanton";"Umweltwärme";"LuftWP";"Kälte (BFE)";1768.9421983126317;"kW"
1999;"Kanton";"Umweltwärme";"LuftWP";"Wärme (BFE)";114897.35288911576;"MWh"
1999;"Kanton";"Umweltwärme";"LuftWP";"Kälte (BFE)";3184.095956962737;"MWh"
2000;"Schweiz";"Umweltwärme";"LuftWasserWP";"Anzahl";39430.16297927614;"Anzahl"
2000;"Schweiz";"Umweltwärme";"LuftLuftWP";"Anzahl";1131.8272721088995;"Anzahl"
2000;"Schweiz";"Umweltwärme";"SoleWasserWP";"Anzahl";21585.54382486122;"Anzahl"
2000;"Schweiz";"Umweltwärme";"WasserWasserWP";"Anzahl";4474.789593464867;"Anzahl"
2000;"Schweiz";"Umweltwärme";"LuftWasserWP";"Energie";545.9312936324407;"GWh"
2000;"Schweiz";"Umweltwärme";"LuftLuftWP";"Energie";1.1590678824361247;"GWh"
2000;"Schweiz";"Umweltwärme";"SoleWasserWP";"Energie";482.31275823105017;"GWh"
2000;"Schweiz";"Umweltwärme";"WasserWasserWP";"Energie";283.3829520239836;"GWh"
2000;"Kanton";"Umweltwärme";"SoleWasserWP";"Anzahl";3738;"Anzahl"
2000;"Kanton";"Umweltwärme";"SoleWasserWP";"Kälte";1797.66;"MWh"
2000;"Kanton";"Umweltwärme";"SoleWasserWP";"Kälte";998.7;"kW"
2000;"Kanton";"Umweltwärme";"SoleWasserWP";"Wärme";69286.23;"MWh"
2000;"Kanton";"Umweltwärme";"SoleWasserWP";"Wärme";38492.35;"kW"
2000;"Kanton";"Umweltwärme";"LuftWP";"Anzahl (GP)";4828.404012829868;"Anzahl"
2000;"Kanton";"Umweltwärme";"LuftWP";"Wärme (GP)";49720.871375936804;"kW"
2000;"Kanton";"Umweltwärme";"LuftWP";"Kälte (GP)";1290.0286483716397;"kW"
2000;"Kanton";"Umweltwärme";"LuftWP";"Wärme (GP)";89497.56847668624;"MWh"
2000;"Kanton";"Umweltwärme";"LuftWP";"Kälte (GP)";2322.0515670689515;"MWh"
2000;"Kanton";"Umweltwärme";"LuftWP";"Anzahl (BFE)";7024.178811054444;"Anzahl"
2000;"Kanton";"Umweltwärme";"LuftWP";"Wärme (BFE)";72332.03564946269;"kW"
2000;"Kanton";"Umweltwärme";"LuftWP";"Kälte (BFE)";1876.6846919743375;"kW"
2000;"Kanton";"Umweltwärme";"LuftWP";"Wärme (BFE)";130197.66416903284;"MWh"
2000;"Kanton";"Umweltwärme";"LuftWP";"Kälte (BFE)";3378.0324455538075;"MWh"
2001;"Schweiz";"Umweltwärme";"LuftWasserWP";"Anzahl";41809.91609942202;"Anzahl"
2001;"Schweiz";"Umweltwärme";"LuftLuftWP";"Anzahl";1433.2565127212124;"Anzahl"
2001;"Schweiz";"Umweltwärme";"SoleWasserWP";"Anzahl";24128.91165614136;"Anzahl"
2001;"Schweiz";"Umweltwärme";"WasserWasserWP";"Anzahl";4564.263162732903;"Anzahl"
2001;"Schweiz";"Umweltwärme";"LuftWasserWP";"Energie";568.4559784443619;"GWh"
2001;"Schweiz";"Umweltwärme";"LuftLuftWP";"Energie";1.5413796015966061;"GWh"
2001;"Schweiz";"Umweltwärme";"SoleWasserWP";"Energie";525.3715395977739;"GWh"
2001;"Schweiz";"Umweltwärme";"WasserWasserWP";"Energie";279.61967478081954;"GWh"
2001;"Kanton";"Umweltwärme";"SoleWasserWP";"Anzahl";4345;"Anzahl"
2001;"Kanton";"Umweltwärme";"SoleWasserWP";"Kälte";2184.66;"MWh"
2001;"Kanton";"Umweltwärme";"SoleWasserWP";"Kälte";1213.7;"kW"
2001;"Kanton";"Umweltwärme";"SoleWasserWP";"Wärme";82240.29;"MWh"
2001;"Kanton";"Umweltwärme";"SoleWasserWP";"Wärme";45689.05;"kW"
2001;"Kanton";"Umweltwärme";"LuftWP";"Anzahl (GP)";5612.470689070567;"Anzahl"
2001;"Kanton";"Umweltwärme";"LuftWP";"Wärme (GP)";59016.90539389633;"kW"
2001;"Kanton";"Umweltwärme";"LuftWP";"Kälte (GP)";1567.7458401208162;"kW"
2001;"Kanton";"Umweltwärme";"LuftWP";"Wärme (GP)";106230.42970901339;"MWh"
2001;"Kanton";"Umweltwärme";"LuftWP";"Kälte (GP)";2821.942512217469;"MWh"
2001;"Kanton";"Umweltwärme";"LuftWP";"Anzahl (BFE)";7786.989636225041;"Anzahl"
2001;"Kanton";"Umweltwärme";"LuftWP";"Wärme (BFE)";81882.66026213297;"kW"
2001;"Kanton";"Umweltwärme";"LuftWP";"Kälte (BFE)";2175.1597978104332;"kW"
2001;"Kanton";"Umweltwärme";"LuftWP";"Wärme (BFE)";147388.7884718393;"MWh"
2001;"Kanton";"Umweltwärme";"LuftWP";"Kälte (BFE)";3915.2876360587793;"MWh"
2002;"Schweiz";"Umweltwärme";"LuftWasserWP";"Anzahl";44281.010406992886;"Anzahl"
2002;"Schweiz";"Umweltwärme";"LuftLuftWP";"Anzahl";1509.5562997693335;"Anzahl"
2002;"Schweiz";"Umweltwärme";"SoleWasserWP";"Anzahl";26778.328372222528;"Anzahl"
2002;"Schweiz";"Umweltwärme";"WasserWasserWP";"Anzahl";4736.738501504204;"Anzahl"
2002;"Schweiz";"Umweltwärme";"LuftWasserWP";"Energie";592.7232643456731;"GWh"
2002;"Schweiz";"Umweltwärme";"LuftLuftWP";"Energie";1.812054106103559;"GWh"
2002;"Schweiz";"Umweltwärme";"SoleWasserWP";"Energie";572.9431637899065;"GWh"
2002;"Schweiz";"Umweltwärme";"WasserWasserWP";"Energie";275.48235608417065;"GWh"
