"jahr";"rubrik";"thema";"wert";"einheit";"ort";"bfsnr"
"2021";"Wärme";"ARA";"1234";"MWh";"Adliswil (Grütpark)";"131"
"2021";"Wärme";"ARA";"2309";"MWh";"Bassersdorf (Eich)";"52"
"2021";"Wärme";"ARA";"700";"MWh";"Bülach";"53"
"2021";"Wärme";"ARA";"6172";"MWh";"Dietikon (Limmatfeld)";"243"
"2021";"Wärme";"ARA";"7800";"MWh";"Dübendorf (Neugut)";"191"
"2021";"Wärme";"ARA";"1614";"MWh";"Effretikon (Mannenberg)";"296"
"2021";"Wärme";"ARA";"715";"MWh";"Egg (Oetwil Esslingen)";"192"
"2021";"Wärme";"ARA";"100";"MWh";"Fehraltorf (Russikon)";"172"
"2021";"Wärme";"ARA";"300";"MWh";"Gossau (Grüningen)";"115"
"2021";"Wärme";"ARA";"2037";"MWh";"Horgen (Oberrieden)";"295"
"2021";"Wärme";"ARA";"270";"MWh";"Knonau";"7"
"2021";"Wärme";"ARA";"1500";"MWh";"Küsnacht (Erlenbach)";"154"
"2021";"Wärme";"ARA";"1155";"MWh";"Meilen";"156"
"2021";"Wärme";"ARA";"1123";"MWh";"Männedorf (Bluemax)";"155"
"2021";"Wärme";"ARA";"745";"MWh";"Mönchaltorf";"196"
"2021";"Wärme";"ARA";"1772";"MWh";"Regensdorf (Wüeri)";"96"
"2021";"Wärme";"ARA";"2281";"MWh";"Thalwil";"141"
"2021";"Wärme";"ARA";"3744";"MWh";"Uster";"198"
"2021";"Wärme";"ARA";"400";"MWh";"Winterthur (Hard)";"230"
"2021";"Wärme";"ARA";"700";"MWh";"Wädenswil (Rietliau)";"293"
"2021";"Wärme";"ARA";"58175";"MWh";"Zürich (Werdhölzli)";"261"
"2022";"Wärme";"ARA";"937";"MWh";"Adliswil (Grütpark)";"131"
"2022";"Wärme";"ARA";"1305";"MWh";"Bassersdorf (Eich)";"52"
"2022";"Wärme";"ARA";"700";"MWh";"Bülach";"53"
"2022";"Wärme";"ARA";"6172";"MWh";"Dietikon (Limmatfeld)";"243"
"2022";"Wärme";"ARA";"7800";"MWh";"Dübendorf (Neugut)";"191"
"2022";"Wärme";"ARA";"1348";"MWh";"Effretikon (Mannenberg)";"296"
"2022";"Wärme";"ARA";"715";"MWh";"Egg (Oetwil Esslingen)";"192"
"2022";"Wärme";"ARA";"100";"MWh";"Fehraltorf (Russikon)";"172"
"2022";"Wärme";"ARA";"300";"MWh";"Gossau (Grüningen)";"115"
"2022";"Wärme";"ARA";"1829";"MWh";"Horgen (Oberrieden)";"295"
"2022";"Wärme";"ARA";"270";"MWh";"Knonau";"7"
"2022";"Wärme";"ARA";"1500";"MWh";"Küsnacht (Erlenbach)";"154"
"2022";"Wärme";"ARA";"1057";"MWh";"Meilen";"156"
"2022";"Wärme";"ARA";"1014";"MWh";"Männedorf (Bluemax)";"155"
"2022";"Wärme";"ARA";"554";"MWh";"Mönchaltorf";"196"
"2022";"Wärme";"ARA";"1470";"MWh";"Regensdorf (Wüeri)";"96"
"2022";"Wärme";"ARA";"1901";"MWh";"Thalwil";"141"
"2022";"Wärme";"ARA";"3387";"MWh";"Uster";"198"
"2022";"Wärme";"ARA";"400";"MWh";"Winterthur (Hard)";"230"
"2022";"Wärme";"ARA";"700";"MWh";"Wädenswil (Rietliau)";"293"
"2022";"Wärme";"ARA";"50057";"MWh";"Zürich (Werdhölzli)";"261"
"2023";"Wärme";"ARA";"958";"MWh";"Adliswil (Grütpark)";"131"
"2023";"Wärme";"ARA";"560";"MWh";"Bassersdorf (Eich)";"52"
"2023";"Wärme";"ARA";"700";"MWh";"Bülach";"53"
"2023";"Wärme";"ARA";"6172";"MWh";"Dietikon (Limmatfeld)";"243"
"2023";"Wärme";"ARA";"7800";"MWh";"Dübendorf (Neugut)";"191"
"2023";"Wärme";"ARA";"1214";"MWh";"Effretikon (Mannenberg)";"296"
"2023";"Wärme";"ARA";"715";"MWh";"Egg (Oetwil Esslingen)";"192"
"2023";"Wärme";"ARA";"100";"MWh";"Fehraltorf (Russikon)";"172"
"2023";"Wärme";"ARA";"300";"MWh";"Gossau (Grüningen)";"115"
"2023";"Wärme";"ARA";"1931";"MWh";"Horgen (Oberrieden)";"295"
"2023";"Wärme";"ARA";"270";"MWh";"Knonau";"7"
"2023";"Wärme";"ARA";"1500";"MWh";"Küsnacht (Erlenbach)";"154"
"2023";"Wärme";"ARA";"1060";"MWh";"Meilen";"156"
"2023";"Wärme";"ARA";"1157";"MWh";"Männedorf (Bluemax)";"155"
"2023";"Wärme";"ARA";"622";"MWh";"Mönchaltorf";"196"
"2023";"Wärme";"ARA";"1472";"MWh";"Regensdorf (Wüeri)";"96"
"2023";"Wärme";"ARA";"508";"MWh";"Thalwil";"141"
"2023";"Wärme";"ARA";"3218";"MWh";"Uster";"198"
"2023";"Wärme";"ARA";"400";"MWh";"Winterthur (Hard)";"230"
"2023";"Wärme";"ARA";"700";"MWh";"Wädenswil (Rietliau)";"293"
"2023";"Wärme";"ARA";"50057";"MWh";"Zürich (Werdhölzli)";"261"
"2024";"Wärme";"ARA";"1011";"MWh";"Adliswil (Grütpark)";"131"
"2024";"Wärme";"ARA";"907";"MWh";"Bassersdorf (Eich)";"52"
"2024";"Wärme";"ARA";"700";"MWh";"Bülach";"53"
"2024";"Wärme";"ARA";"5915";"MWh";"Dietikon (Limmatfeld)";"243"
"2024";"Wärme";"ARA";"7800";"MWh";"Dübendorf (Neugut)";"191"
"2024";"Wärme";"ARA";"1230";"MWh";"Effretikon (Mannenberg)";"296"
"2024";"Wärme";"ARA";"715";"MWh";"Egg (Oetwil Esslingen)";"192"
"2024";"Wärme";"ARA";"100";"MWh";"Fehraltorf (Russikon)";"172"
"2024";"Wärme";"ARA";"300";"MWh";"Gossau (Grüningen)";"115"
"2024";"Wärme";"ARA";"1911";"MWh";"Horgen (Oberrieden)";"295"
"2024";"Wärme";"ARA";"270";"MWh";"Knonau";"7"
"2024";"Wärme";"ARA";"1500";"MWh";"Küsnacht (Erlenbach)";"154"
"2024";"Wärme";"ARA";"1056";"MWh";"Meilen";"156"
"2024";"Wärme";"ARA";"1006";"MWh";"Männedorf (Bluemax)";"155"
"2024";"Wärme";"ARA";"673";"MWh";"Mönchaltorf";"196"
"2024";"Wärme";"ARA";"1404";"MWh";"Regensdorf (Wüeri)";"96"
"2024";"Wärme";"ARA";"1116";"MWh";"Thalwil";"141"
"2024";"Wärme";"ARA";"2402";"MWh";"Uster (Prioritätsgebiet 2)";"198"
"2024";"Wärme";"ARA";"836";"MWh";"Uster (Prioritätsgebiet 1)";"198"
"2024";"Wärme";"ARA";"400";"MWh";"Winterthur (Hard)";"230"
"2024";"Wärme";"ARA";"700";"MWh";"Wädenswil (Rietliau)";"293"
