"jahr";"ort";"bfsnr";"rubrik";"thema";"wert";"einheit"
2004;"Hausen am Albis";4;"Strom";"PV";0;"Anzahl"
2005;"Hausen am Albis";4;"Strom";"PV";0;"kW"
2005;"Hausen am Albis";4;"Strom";"PV";0;"MWh"
2005;"Hausen am Albis";4;"Strom";"PV";0;"Anzahl"
2006;"Hausen am Albis";4;"Strom";"PV";0;"kW"
2006;"Hausen am Albis";4;"Strom";"PV";0;"MWh"
2006;"Hausen am Albis";4;"Strom";"PV";0;"Anzahl"
2007;"Hausen am Albis";4;"Strom";"PV";0;"kW"
2007;"Hausen am Albis";4;"Strom";"PV";0;"MWh"
2007;"Hausen am Albis";4;"Strom";"PV";0;"Anzahl"
2008;"Hausen am Albis";4;"Strom";"PV";0;"kW"
2008;"Hausen am Albis";4;"Strom";"PV";0;"MWh"
2008;"Hausen am Albis";4;"Strom";"PV";0;"Anzahl"
2009;"Hausen am Albis";4;"Strom";"PV";0;"kW"
2009;"Hausen am Albis";4;"Strom";"PV";0;"MWh"
2009;"Hausen am Albis";4;"Strom";"PV";0;"Anzahl"
2010;"Hausen am Albis";4;"Strom";"PV";3.5;"kW"
2010;"Hausen am Albis";4;"Strom";"PV";3.5;"MWh"
2010;"Hausen am Albis";4;"Strom";"PV";1;"Anzahl"
2011;"Hausen am Albis";4;"Strom";"PV";49.04;"kW"
2011;"Hausen am Albis";4;"Strom";"PV";49.04;"MWh"
2011;"Hausen am Albis";4;"Strom";"PV";6;"Anzahl"
2012;"Hausen am Albis";4;"Strom";"PV";67.36;"kW"
2012;"Hausen am Albis";4;"Strom";"PV";67.36;"MWh"
2012;"Hausen am Albis";4;"Strom";"PV";8;"Anzahl"
2013;"Hausen am Albis";4;"Strom";"PV";1345.03;"kW"
2013;"Hausen am Albis";4;"Strom";"PV";1345.03;"MWh"
2013;"Hausen am Albis";4;"Strom";"PV";19;"Anzahl"
2014;"Hausen am Albis";4;"Strom";"PV";1735.49;"kW"
2014;"Hausen am Albis";4;"Strom";"PV";1735.49;"MWh"
2014;"Hausen am Albis";4;"Strom";"PV";25;"Anzahl"
2015;"Hausen am Albis";4;"Strom";"PV";2160.71;"kW"
2015;"Hausen am Albis";4;"Strom";"PV";2160.71;"MWh"
2015;"Hausen am Albis";4;"Strom";"PV";34;"Anzahl"
2016;"Hausen am Albis";4;"Strom";"PV";2361.27;"kW"
2016;"Hausen am Albis";4;"Strom";"PV";2361.27;"MWh"
2016;"Hausen am Albis";4;"Strom";"PV";41;"Anzahl"
2017;"Hausen am Albis";4;"Strom";"PV";2553.85;"kW"
2017;"Hausen am Albis";4;"Strom";"PV";2553.85;"MWh"
