gbs_id,datum_verfuegung
b 00-10697,03.05.2012
b 00-10698,03.05.2012
b 00-10699,07.05.2012
b 00-10700,10.05.2012
b 00-10701,14.05.2012
b 00-10702,21.05.2012
b 00-10703,31.05.2012
b 00-10704,31.05.2012
b 00-10705,06.06.2012
b 00-10706,07.06.2012
b 00-10707,07.06.2012
b 00-10708,06.11.2012
b 00-10709,12.06.2012
b 00-10710,12.06.2012
b 00-10711,12.06.2012
b 00-10712,18.06.2012
b 00-10713,12.07.2012
b 00-10714,03.07.2012
b 00-10715,03.07.2012
b 00-10716,03.07.2012
b 00-10717,11.07.2012
b 00-10718,09.07.2012
b 00-10719,10.07.2012
b 00-10720,24.07.2012
b 00-10721,26.07.2012
b 00-10722,27.07.2012
b 00-10723,02.08.2012
b 00-10724,06.08.2012
b 00-10725,08.08.2012
b 00-10726,09.08.2012
b 00-10727,13.08.2012
b 00-10728,13.08.2012
b 00-10729,20.08.2012
b 00-10730,28.08.2012
b 00-10731,05.09.2012
b 00-10732,02.10.2012
b 00-10733,04.10.2012
b 00-10734,04.10.2012
b 00-10735,04.10.2012
b 00-10736,04.10.2012
b 00-10737,04.10.2012
b 00-10738,04.10.2012
b 00-10739,04.10.2012
b 00-10740,04.10.2012
b 00-10741,12.10.2012
b 00-10742,15.10.2012
b 00-10743,15.10.2012
b 00-10744,31.10.2012
b 00-10745,07.11.2012
b 00-10746,07.11.2012
b 00-10747,07.11.2012
b 00-10748,09.11.2012
b 00-10749,22.11.2012
b 00-10750,28.11.2012
b 00-10751,28.11.2012
b 00-10752,05.12.2012
b 00-10753,07.12.2012
b 00-10754,17.01.2013
b 00-10755,17.01.2013
b 00-10756,21.01.2013
b 00-10757,22.01.2013
b 00-10758,22.01.2013
b 00-10759,23.01.2013
b 00-10760,30.01.2013
b 00-10761,11.02.2013
b 00-10762,30.01.2013
b 00-10763,31.01.2013
b 00-10764,27.02.2013
b 00-10765,20.02.2013
b 00-10766,20.02.2013
b 00-10767,21.02.2013
b 00-10768,21.02.2013
b 00-10769,21.02.2013
b 00-10770,04.07.2013
b 00-10771,22.02.2013
b 00-10772,27.02.2013
b 00-10773,28.02.2013
b 00-10774,04.03.2013
b 00-10775,04.03.2013
b 00-10776,04.03.2013
b 00-10777,14.03.2013
b 00-10778,21.03.2013
b 00-10779,21.03.2013
b 00-10780,21.03.2013
b 00-10781,25.03.2013
b 00-10782,26.03.2013
b 00-10783,27.03.2013
b 00-10784,08.04.2013
b 00-10785,09.04.2013
b 00-10786,10.04.2013
b 00-10787,12.04.2013
b 00-10788,12.04.2013
b 00-10789,15.04.2013
b 00-10790,15.04.2013
b 00-10791,16.04.2013
b 00-10792,19.04.2013
b 00-10793,22.04.2013
b 00-10794,22.04.2013
b 00-10795,23.04.2013
b 00-10796,24.04.2013
b 00-10797,24.04.2013
b 00-10798,25.04.2013
b 00-10799,25.04.2013
b 00-10800,25.04.2013
b 00-10801,25.04.2013
b 00-10802,25.04.2013
